T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
194.656,0,13,60,18,0,18,27,11
194.666,0,13,60,18,0,18,28,11
194.676,0,13,64,18,0,18,28,11
194.686,0,13,60,18,0,18,28,11
194.696,0,12,60,18,0,18,28,11
194.706,0,13,60,18,0,18,27,10
194.716,0,12,64,18,0,18,27,10
194.726,0,12,60,18,0,19,27,11
194.736,0,13,64,18,0,19,27,10
194.746,0,13,64,18,0,18,28,11
194.756,0,12,64,18,0,19,28,11
194.766,0,13,64,19,0,19,28,11
194.776,0,12,64,19,0,19,28,11
194.786,0,13,64,18,0,19,27,11
194.796,0,13,64,18,0,18,28,11
194.806,0,13,60,19,0,19,27,11
194.816,0,13,64,18,0,18,27,11
194.826,0,13,60,18,0,18,27,11
194.836,0,13,64,18,0,18,28,11
194.846,0,13,60,18,0,18,27,11
194.856,0,13,64,18,0,19,28,11
194.866,0,13,64,18,0,18,27,10
194.876,0,12,64,18,0,18,27,11
194.886,0,13,64,18,0,18,27,11
194.896,0,13,64,18,0,18,27,11
194.906,0,13,64,18,0,18,27,11
194.916,0,12,64,18,0,18,27,11
194.926,0,13,64,18,0,18,27,11
194.936,0,12,64,18,0,18,28,11
194.946,0,13,64,18,0,18,28,11
194.956,0,13,64,18,0,18,28,11
194.966,0,12,64,18,0,18,27,11
194.976,0,12,64,18,0,19,27,11
194.986,0,13,64,19,0,19,28,11
194.996,0,12,60,18,0,18,27,11
194.999,0,12,64,18,0,19,27,11
194.999,0,12,64,19,0,18,28,11
195.002,0,12,64,18,0,18,27,11
195.012,0,12,64,18,0,18,27,11
195.022,0,12,64,18,0,18,27,11
195.032,0,12,64,18,0,18,27,11
195.042,0,12,64,18,0,18,27,11
195.052,0,12,64,18,0,18,28,11
195.062,0,12,64,18,0,18,27,11
195.072,0,13,68,18,0,18,27,11
195.082,0,13,68,18,0,18,27,11
195.092,0,13,68,18,0,18,27,10
195.102,0,13,68,18,0,18,27,11
195.112,0,13,68,18,0,18,27,11
195.122,0,13,68,18,0,18,27,10
195.132,0,13,68,18,0,18,27,11
195.142,0,13,68,18,0,18,27,11
195.152,0,14,68,18,0,18,27,11
195.162,0,14,68,17,0,18,27,11
195.172,0,13,68,18,0,18,27,11
195.182,0,13,68,18,0,18,27,11
195.192,0,13,68,18,0,18,27,11
195.202,0,13,68,18,0,18,27,11
195.212,0,13,68,18,0,18,27,11
195.222,0,13,68,18,0,18,27,11
195.232,0,13,68,18,0,18,27,11
195.242,0,13,68,18,0,18,27,11
195.252,0,13,68,18,0,18,27,11
195.262,0,13,68,18,0,18,27,11
195.272,0,13,68,18,0,18,27,11
195.282,0,13,68,18,0,18,27,11
195.292,0,13,68,18,0,18,27,11
195.302,0,13,68,18,0,18,27,11
195.312,0,13,68,18,0,18,27,11
195.322,0,13,68,18,0,18,27,11
195.332,0,13,68,18,0,18,27,11
195.342,0,13,68,18,0,18,27,11
195.352,0,13,68,18,0,18,27,11
195.362,0,13,68,18,0,18,27,11
195.372,0,13,68,18,0,18,27,11
195.382,0,12,68,18,0,18,27,11
195.392,0,13,68,18,0,18,27,11
195.402,0,12,68,18,0,18,27,11
195.412,0,12,68,18,0,17,27,11
195.422,0,12,68,19,0,17,27,11
195.432,0,12,68,19,0,17,26,11
195.442,0,12,68,19,0,16,26,11
195.452,0,12,68,19,0,16,26,12
195.462,0,12,68,20,0,15,26,12
195.472,0,12,68,20,0,16,26,12
195.482,0,11,68,20,0,15,25,12
195.492,0,11,68,20,0,15,25,12
195.502,0,11,68,20,0,15,25,12
195.512,0,10,68,20,0,15,24,12
195.522,0,9,68,21,0,15,25,12
195.532,0,9,68,22,0,15,24,12
195.542,0,9,68,22,0,15,24,11
195.552,0,8,68,23,0,15,24,11
195.562,0,7,68,25,0,15,23,11
195.572,0,7,68,26,0,15,22,11
195.582,0,5,68,27,0,15,22,11
195.592,0,6,68,28,0,15,22,11
195.602,0,6,68,28,0,15,21,11
195.612,0,5,68,28,0,14,20,11
195.622,0,6,68,30,0,14,21,11
195.632,0,6,68,31,0,14,21,11
