T301,mode
4762.852632,1
6321.615789,1
4269.086842,1
5315.044737,1
6025.284211,1
7850.876316,1
4963.318421,1
5619.342105,1
4295.502632,1
4773.031579,1
5187.421053,1
3595.605263,1
5750.186842,1
5614.065789,1
4548.155263,1
6759.644737,1
5279.844737,1
7714.35,1
4386.363158,1
3743.555263,1
3280.357895,1
4291.542105,1
4279.031579,1
3095.023684,1
4116.947368,1
5612.215789,1
10481.07368,1
6004.081579,1
3491.602632,1
317.2421053,1
673.7157895,1
891.4078947,1
288.6973684,1
96.27631579,1
312.6105263,1
1519.621053,1
19410.95263,1
5409.526316,1
1260.928947,1
612.9078947,1
1317.713158,1
592.7763158,1
531.2868421,1
649.4342105,1
886.6894737,1
675.5315789,1
672.2263158,1
2366.176316,1
5483.447368,1
10.94473684,0
3.889473684,0
4.65,0
9.3,0
9.152631579,0
5.818421053,0
7.489473684,0
5.592105263,0
6.165789474,0
5.3,0
10.53421053,0
11.19736842,0
8.463157895,0
6.563157895,0
5.868421053,0
2.660526316,0
3.626315789,0
4.813157895,0
4.6,0
3.394736842,0
4.034210526,0
4.560526316,0
4.523684211,0
2.871052632,0
2.686842105,0
0.923684211,0
1.234210526,0
4.692105263,0
0.844736842,0
1.368421053,0
4.510526316,0
7,0
2.026315789,0
4.921052632,0
3.923684211,0
3.247368421,0
0.781578947,0
4.392105263,0
4.744736842,0
5.155263158,0
4.113157895,0
1.971052632,0
3.247368421,0
6.123684211,0
3.021052632,0
4.707894737,0
11.83947368,0
4.565789474,0
