T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
1006.846,0,15,76,19,0,23,30,7
1006.856,0,15,76,19,0,23,30,8
1006.866,0,15,76,19,0,23,30,8
1006.876,0,15,72,19,0,22,30,8
1006.886,0,15,76,19,0,23,30,8
1006.896,0,14,72,19,0,23,30,8
1006.906,0,15,76,19,0,23,30,8
1006.916,0,14,72,19,0,23,30,8
1006.926,0,15,72,19,0,23,30,8
1006.936,0,14,72,20,0,23,30,8
1006.946,0,14,72,19,0,22,29,8
1006.956,0,13,72,19,0,22,29,8
1006.966,0,13,72,20,0,22,29,8
1006.976,0,13,72,19,0,22,29,8
1006.986,0,13,72,20,0,22,29,8
1006.996,0,13,68,20,0,22,29,8
1006.999,0,13,72,20,0,22,29,8
1006.999,0,13,68,19,0,22,29,8
1007.002,0,13,72,20,0,23,28,8
1007.012,0,13,72,20,0,22,29,8
1007.022,0,13,68,20,0,22,28,8
1007.032,0,13,68,20,0,22,29,8
1007.042,0,12,72,20,0,22,28,9
1007.052,0,12,72,20,0,22,28,9
1007.062,0,12,68,20,0,22,28,9
1007.072,0,12,72,20,0,22,28,9
1007.082,0,12,68,20,0,22,29,9
1007.092,0,12,68,19,0,22,29,8
1007.102,0,12,68,20,0,22,29,9
1007.112,0,12,68,19,0,22,28,8
1007.122,0,12,72,20,0,22,29,9
1007.132,0,12,68,20,0,22,29,9
1007.142,0,12,72,19,0,22,29,9
1007.152,0,12,72,19,0,22,28,9
1007.162,0,12,72,19,0,22,28,9
1007.172,0,12,68,19,0,22,29,9
1007.182,0,13,68,19,0,22,29,8
1007.192,0,13,68,20,0,22,29,9
1007.202,0,13,68,19,0,22,29,9
1007.212,0,13,68,19,0,22,29,9
1007.222,0,13,68,19,0,22,31,8
1007.232,0,13,68,19,0,22,31,8
1007.242,0,13,68,19,0,23,31,8
1007.252,0,13,72,19,0,24,31,7
1007.262,0,13,68,19,0,23,31,8
1007.272,0,13,72,19,0,23,31,7
1007.282,0,13,68,19,0,23,31,7
1007.292,0,13,68,19,0,23,31,7
1007.302,0,13,68,19,0,24,31,7
1007.312,0,13,72,19,0,24,31,7
1007.322,0,13,68,19,0,24,31,7
1007.332,0,13,68,18,0,24,31,7
1007.342,0,13,68,19,0,24,31,7
1007.352,0,13,72,19,0,24,31,7
1007.362,0,13,68,19,0,25,31,7
1007.372,0,13,72,19,0,24,31,7
1007.382,0,13,72,19,0,25,31,7
1007.392,0,13,68,19,0,24,31,7
1007.402,0,13,68,19,0,24,31,7
1007.412,0,13,68,19,0,24,31,7
1007.422,0,13,68,19,0,25,31,7
1007.432,0,13,68,19,0,25,31,7
1007.442,0,13,72,19,0,24,31,7
1007.452,0,13,72,19,0,25,31,7
1007.462,0,13,72,19,0,24,31,7
1007.472,0,13,68,19,0,24,31,7
1007.482,0,13,68,19,0,25,31,7
1007.492,0,13,68,19,0,24,31,7
1007.502,0,13,68,19,0,24,31,7
1007.512,0,13,68,19,0,24,31,7
1007.522,0,13,68,19,0,24,31,7
1007.532,0,13,68,19,0,24,31,8
1007.542,0,12,68,20,0,24,31,7
1007.552,0,12,68,20,0,24,31,8
1007.562,0,11,68,20,0,22,31,8
1007.572,0,11,68,21,0,22,31,8
1007.582,0,12,68,21,0,22,30,8
1007.592,0,11,68,22,0,22,28,8
1007.602,0,12,72,22,0,22,28,8
1007.612,0,11,68,23,0,21,27,8
1007.622,0,11,72,25,0,20,26,7
1007.632,0,11,72,26,0,19,26,8
1007.642,0,10,72,27,0,18,23,7
1007.652,0,9,72,28,0,19,21,7
1007.662,0,9,72,28,0,19,21,8
1007.672,0,9,72,31,0,17,19,7
1007.682,0,9,76,34,0,17,19,7
1007.692,0,9,76,33,0,18,17,6
1007.702,0,9,76,35,0,18,17,6
1007.712,0,9,76,35,0,18,17,6
1007.722,0,9,76,37,0,18,17,6
1007.732,0,9,76,35,0,18,18,6
1007.742,0,9,76,37,0,17,14,5
1007.752,0,9,76,41,0,17,13,5
1007.762,0,9,76,45,0,17,12,5
1007.772,0,9,76,46,0,17,12,5
1007.782,0,8,76,46,0,17,13,5
1007.792,0,9,76,48,0,17,12,5
1007.802,0,9,76,48,0,15,11,5
1007.812,0,9,76,52,0,15,11,5
1007.822,0,9,76,52,0,15,10,5
1007.832,0,9,76,53,0,13,11,5
1007.842,0,9,76,56,0,13,11,5
1007.852,0,9,76,52,0,13,11,5
1007.862,0,10,76,51,0,13,11,5
1007.872,0,10,76,52,0,13,11,5
1007.882,0,11,76,49,0,13,9,5
1007.892,0,12,76,48,0,13,10,5
1007.902,0,13,80,41,0,13,9,5
1007.912,0,14,88,34,0,13,11,6
1007.922,0,16,88,25,0,13,11,6
1007.932,0,17,92,22,0,14,10,7
1007.942,0,22,92,18,0,14,11,7
1007.952,0,22,104,15,0,14,12,9
1007.962,0,24,112,12,0,14,12,9
1007.972,0,30,116,8,0,15,13,11
1007.982,3,31,116,5,0,16,13,12
1007.992,6,38,112,4,0,15,19,13
1007.999,7,38,112,3,0,16,20,17
1007.999,7,37,100,0,0,15,21,19
1007.999,11,34,88,1,0,16,24,22
1008.008,11,33,60,2,0,17,27,27
1008.018,14,27,40,2,0,19,31,29
1008.028,15,19,32,2,0,19,31,34
1008.038,18,15,28,3,0,19,34,37
1008.048,17,9,28,2,0,20,37,39
1008.058,13,8,20,3,0,19,38,39
1008.068,15,7,16,3,0,22,39,41
1008.078,14,5,24,3,0,23,40,42
1008.088,14,4,20,3,0,24,43,44
1008.098,7,3,12,3,0,25,43,43
1008.108,4,3,20,3,0,25,41,43
1008.118,0,3,16,2,0,27,43,43
1008.128,0,3,16,3,0,29,43,41
1008.138,0,3,20,3,0,30,42,39
1008.148,0,3,20,2,0,30,41,38
1008.158,0,3,16,3,0,30,42,36
1008.168,0,3,16,2,0,29,43,34
1008.178,0,3,16,3,0,35,45,31
1008.188,0,3,16,3,0,33,48,30
1008.198,0,3,16,3,0,36,49,29
1008.208,0,3,16,2,0,35,49,28
1008.218,0,3,16,2,0,35,51,27
1008.228,0,3,16,3,0,37,49,26
1008.238,0,3,16,2,0,40,49,25
1008.248,0,3,12,3,0,41,53,24
1008.258,0,3,12,3,0,44,53,22
1008.268,0,3,12,3,0,47,54,21
1008.278,0,3,12,3,0,51,54,19
1008.288,0,3,8,3,0,51,57,15
1008.298,0,3,8,2,0,54,55,14
1008.308,0,3,8,2,0,57,56,14
1008.318,0,3,8,2,0,60,57,13
1008.328,0,3,8,2,0,62,55,12
1008.338,0,3,8,2,0,66,56,11
1008.348,0,3,8,2,0,66,57,12
1008.358,0,3,8,2,0,67,58,11
1008.368,0,3,8,2,0,68,59,11
1008.378,0,4,8,2,0,73,60,8
1008.388,0,4,8,2,1,77,59,7
1008.398,0,4,8,1,1,79,61,7
1008.408,0,3,8,2,1,80,61,6
1008.418,0,3,8,2,1,83,61,5
1008.428,0,3,8,2,1,86,63,5
1008.438,0,3,8,2,1,87,63,5
1008.448,0,3,8,2,2,90,58,6
1008.458,0,3,8,2,3,91,61,5
1008.468,0,4,8,2,3,95,59,5
1008.478,0,4,8,2,3,95,59,5
1008.488,0,4,8,2,3,95,58,4
1008.498,0,4,8,2,3,97,57,4
1008.508,0,4,8,2,3,95,58,4
1008.518,0,4,8,2,5,97,60,4
1008.528,0,4,8,2,5,95,59,3
1008.538,0,4,8,2,3,99,62,3
1008.548,0,5,8,2,4,101,63,3
1008.558,0,4,8,2,7,102,66,3
1008.568,0,4,8,2,7,101,67,3
1008.578,0,4,8,2,7,101,69,3
1008.588,0,4,8,2,7,99,74,3
1008.598,0,4,8,2,7,99,76,3
1008.608,0,4,8,2,7,100,81,3
1008.618,0,4,8,2,8,102,82,3
1008.628,0,4,8,2,12,102,83,3
1008.638,0,4,8,2,11,106,87,3
1008.648,0,4,8,2,12,107,89,3
1008.658,0,4,8,2,11,107,88,2
1008.668,0,4,8,2,11,109,91,2
1008.678,0,3,8,2,11,108,92,2
1008.688,0,5,8,2,12,110,94,2
1008.698,0,5,8,2,11,110,94,3
1008.708,0,5,8,2,11,110,94,2
1008.718,0,5,4,2,12,109,94,2
1008.728,0,5,4,2,12,110,93,2
1008.738,0,5,4,2,14,115,95,2
1008.748,0,5,4,2,15,117,97,2
1008.758,0,5,4,2,15,119,98,3
1008.768,0,5,4,1,15,121,101,2
1008.778,0,5,4,1,19,123,103,2
1008.788,0,5,8,1,19,125,103,2
1008.798,0,5,16,2,21,127,107,2
1008.808,0,5,12,2,21,132,108,2
1008.818,0,4,12,2,23,134,105,2
1008.828,0,4,20,2,24,137,103,1
1008.838,4,3,16,3,23,140,98,1
1008.848,2,5,16,2,25,143,98,1
1008.858,4,7,32,2,25,148,85,0
1008.868,0,9,52,1,24,150,78,0
1008.878,0,15,60,1,25,152,71,0
1008.888,0,23,76,1,26,152,60,0
1008.898,1,26,120,0,27,149,42,0
1008.908,0,31,140,2,27,140,20,0
1008.918,0,35,160,4,28,117,13,0
1008.928,3,34,176,6,27,97,5,0
1008.938,5,39,180,8,29,61,6,0
1008.948,4,38,164,10,31,41,3,0
1008.958,3,37,180,10,40,30,7,0
1008.968,3,35,188,15,52,23,6,0
1008.978,3,31,192,16,50,15,3,0
1008.988,2,28,216,18,31,12,4,0
1008.998,0,25,208,20,11,8,1,2
1008.999,0,22,204,21,0,8,0,2
1008.999,0,21,212,22,0,8,3,2
1009.004,0,19,200,22,0,13,2,2
1009.014,0,18,200,22,0,13,2,2
1009.024,0,19,200,20,0,13,2,2
1009.034,0,19,204,19,0,12,2,2
1009.044,0,15,208,17,0,12,2,2
1009.054,0,16,208,16,0,11,2,2
1009.064,0,15,216,15,0,9,2,2
1009.074,0,15,216,14,0,9,2,2
1009.084,0,15,216,13,0,9,3,2
1009.094,0,14,220,11,0,9,2,2
1009.104,0,14,220,12,0,9,2,2
1009.114,0,14,220,12,0,10,3,2
1009.124,0,15,220,12,0,10,2,2
1009.134,0,14,220,12,0,10,2,1
1009.144,0,14,220,13,0,10,2,1
1009.154,0,15,216,13,0,10,3,1
1009.164,0,13,212,13,0,9,2,1
1009.174,0,14,208,13,0,9,2,1
1009.184,0,15,204,14,0,9,2,1
1009.194,0,15,196,14,0,11,2,1
1009.204,0,17,184,15,0,10,2,1
1009.214,1,17,180,16,0,11,3,1
1009.224,3,17,168,17,0,10,1,1
1009.234,3,17,156,19,0,11,0,1
1009.244,5,17,144,20,0,14,1,1
1009.254,3,20,136,21,0,11,0,1
1009.264,6,27,124,23,0,11,0,1
1009.274,9,28,120,24,0,11,1,1
1009.284,9,31,116,24,0,12,1,1
1009.294,10,37,112,21,0,11,1,1
1009.304,10,45,112,18,0,9,2,1
1009.314,14,45,108,15,0,9,1,1
1009.324,13,51,112,15,0,7,1,1
1009.334,15,55,112,13,0,7,2,1
1009.344,16,62,112,12,0,7,3,1
1009.354,17,67,116,10,0,7,2,1
1009.364,21,70,116,10,0,7,1,1
1009.374,23,68,116,10,0,7,1,1
1009.384,27,63,116,10,0,6,2,1
1009.394,27,68,124,10,0,7,1,1
1009.404,29,66,124,10,0,7,2,1
1009.414,31,66,124,10,0,7,2,1
1009.424,31,67,132,10,0,7,2,1
1009.434,33,67,140,10,0,7,2,1
1009.444,34,67,140,10,0,7,1,1
1009.454,34,67,140,7,0,8,1,1
1009.464,35,67,140,7,0,8,2,1
1009.474,35,67,144,8,0,7,3,1
1009.484,35,66,144,8,0,7,3,1
1009.494,34,63,148,9,0,7,2,1
1009.504,31,63,152,9,0,7,3,1
1009.514,33,63,160,9,0,8,2,1
1009.524,35,67,164,9,0,7,2,1
1009.534,39,69,176,8,0,7,2,1
1009.544,44,72,184,8,0,7,2,1
1009.554,47,76,188,8,0,7,1,1
1009.564,52,78,196,7,0,8,1,1
1009.574,55,80,196,7,0,7,1,1
1009.584,57,83,204,7,0,7,2,1
