T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
287.090,0,22,108,10,0,19,40,7
287.100,0,22,100,10,0,19,40,7
287.110,0,22,104,10,0,19,40,7
287.120,0,22,100,10,0,19,40,7
287.130,0,22,104,10,0,19,40,7
287.140,0,22,104,10,0,19,40,7
287.150,0,22,96,10,0,19,40,7
287.160,0,22,100,10,0,19,41,7
287.170,0,23,96,10,0,19,41,7
287.180,0,22,100,10,0,19,41,7
287.190,0,22,100,10,0,19,41,7
287.200,0,22,96,10,0,19,41,7
287.210,0,22,104,10,0,19,41,7
287.220,0,22,104,10,0,19,41,7
287.230,0,22,100,10,0,19,41,7
287.240,0,22,100,10,0,19,41,7
287.250,0,22,100,10,0,19,41,7
287.260,0,23,100,10,0,19,41,7
287.270,0,22,104,10,0,19,41,7
287.280,0,22,100,10,0,19,42,7
287.290,0,22,100,10,0,19,43,7
287.300,0,22,100,10,0,19,43,7
287.310,0,22,100,10,0,19,43,7
287.320,0,23,100,10,0,19,43,7
287.330,0,22,108,10,0,19,43,7
287.340,0,23,104,10,0,19,43,7
287.350,0,22,100,10,0,19,43,7
287.360,0,23,100,10,0,19,43,7
287.370,0,22,100,10,0,19,44,7
287.380,0,22,96,10,0,19,44,7
287.390,0,22,100,10,0,19,44,7
287.400,0,23,100,10,0,19,44,7
287.410,0,23,100,10,0,19,44,7
287.420,0,23,112,10,0,19,44,7
287.430,0,23,100,10,0,19,44,7
287.440,0,23,104,10,0,19,44,7
287.450,0,23,100,10,0,19,44,7
287.460,0,23,104,10,0,19,44,7
287.470,0,23,104,10,0,19,45,7
287.480,0,23,108,10,0,19,45,7
287.490,0,23,104,10,0,19,45,7
287.500,0,23,108,9,0,19,45,7
287.510,0,23,100,9,0,19,45,7
287.520,0,23,104,10,0,19,45,7
287.530,0,23,100,10,0,19,45,7
287.540,0,23,100,9,0,19,45,7
287.550,0,23,100,9,0,19,45,7
287.560,0,23,100,9,0,19,45,7
287.570,0,23,100,10,0,20,45,7
287.580,0,23,104,10,0,19,45,7
287.590,0,23,104,9,0,19,45,7
287.600,0,23,108,10,0,19,45,7
287.610,0,23,104,10,0,20,45,7
287.620,0,23,104,10,0,20,45,7
287.630,0,23,104,9,0,19,45,7
287.640,0,23,100,10,0,19,45,7
287.650,0,23,96,10,0,19,45,7
287.660,0,22,104,9,0,19,45,7
287.670,0,23,96,10,0,20,45,7
287.680,0,23,112,10,0,20,45,7
287.690,0,22,104,10,0,19,45,7
287.700,0,22,104,10,0,19,45,7
287.710,0,23,96,10,0,19,45,7
287.720,0,22,104,10,0,19,46,7
287.730,0,23,100,10,0,19,46,7
287.740,0,23,108,10,0,19,46,7
287.750,0,22,104,10,0,19,46,7
287.760,0,22,104,10,0,19,45,7
287.770,0,22,100,10,0,19,45,7
287.780,0,22,104,10,0,19,45,7
287.790,0,23,104,10,0,19,45,7
287.800,0,23,104,10,0,19,45,7
287.810,0,23,104,10,0,19,45,7
