T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
582.230,0,17,84,18,0,27,35,7
582.240,0,17,84,18,0,27,35,7
582.250,0,17,84,18,0,27,35,7
582.260,0,17,84,18,0,27,35,7
582.270,0,17,84,18,0,27,35,7
582.280,0,17,84,18,0,27,35,7
582.290,0,17,84,18,0,27,35,7
582.300,0,17,84,18,0,28,35,7
582.310,0,17,84,18,0,28,35,7
582.320,0,17,84,18,0,28,35,7
582.330,0,17,84,18,0,28,35,7
582.340,0,17,84,18,0,29,35,6
582.350,0,17,84,18,0,28,35,7
582.360,0,17,84,18,0,28,35,7
582.370,0,17,84,18,0,28,35,6
582.380,0,17,84,18,0,28,35,7
582.390,0,17,84,18,0,28,35,7
582.400,0,17,84,18,0,28,35,7
582.410,0,17,84,18,0,28,35,6
582.420,0,17,84,18,0,28,36,7
582.430,0,17,84,18,0,28,36,6
582.440,0,17,84,17,0,28,36,6
582.450,0,17,84,18,0,29,36,6
582.460,0,17,84,18,0,29,36,7
582.470,0,17,84,18,0,29,36,7
582.480,0,17,84,18,0,29,36,7
582.490,0,17,84,18,0,29,36,7
582.500,0,17,84,18,0,28,36,6
582.510,0,17,84,18,0,28,36,6
582.520,0,17,84,17,0,29,37,7
582.530,0,17,84,17,0,29,36,6
582.540,0,18,84,18,0,29,37,7
582.550,0,18,84,18,0,29,36,6
582.560,0,17,84,18,0,30,36,7
582.570,0,18,84,18,0,30,38,6
582.580,0,17,84,18,0,29,37,6
582.590,0,17,84,17,0,30,37,7
582.600,0,18,84,18,0,30,37,6
582.610,0,17,84,18,0,30,38,6
582.620,0,18,84,17,0,30,37,7
582.630,0,17,84,18,0,30,38,7
582.640,0,18,84,18,0,30,37,6
582.650,0,18,84,18,0,30,37,7
582.660,0,17,84,17,0,30,37,7
582.670,0,18,84,18,0,30,37,7
582.680,0,17,84,18,0,30,36,7
582.690,0,18,88,18,0,29,36,7
582.700,0,17,88,18,0,29,36,7
582.710,0,17,88,18,0,29,36,7
582.720,0,17,88,18,0,29,35,7
582.730,0,17,88,19,0,28,35,6
582.740,0,17,88,19,0,26,31,7
582.750,0,18,88,19,0,25,31,7
582.760,0,17,92,19,0,24,31,7
