T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
522.999,0,5,36,1,0,7,9,1
523.007,0,5,36,1,0,7,8,1
523.017,0,5,32,1,0,7,9,1
523.027,0,5,32,0,0,6,9,1
523.037,0,5,32,1,0,6,8,1
523.047,0,5,36,1,0,7,9,1
523.057,0,5,32,1,0,6,8,1
523.067,0,5,36,1,0,7,9,1
523.077,0,5,32,1,0,7,8,1
523.087,0,5,28,0,0,6,8,1
523.097,0,5,32,0,0,6,8,1
523.107,0,5,36,0,0,7,9,1
523.117,0,5,36,0,0,7,9,1
523.127,0,5,36,1,0,7,9,1
523.137,0,5,36,0,0,6,8,1
523.147,0,5,32,1,0,7,9,1
523.157,0,5,32,0,0,7,9,1
523.167,0,5,32,0,0,7,8,1
523.177,0,5,36,1,0,7,9,1
523.187,0,5,32,1,0,7,9,1
523.197,0,5,36,1,0,7,9,1
523.207,0,5,32,0,0,7,9,2
523.217,0,5,36,1,0,7,9,1
523.227,0,5,36,1,0,6,8,1
523.237,0,5,32,0,0,6,8,1
523.247,0,5,32,1,0,7,9,1
523.257,0,5,32,1,0,6,8,1
523.267,0,5,32,0,0,7,9,1
523.277,0,5,32,1,0,6,8,1
523.287,0,5,36,1,0,7,9,1
523.297,0,5,36,0,0,6,8,1
523.307,0,5,36,0,0,7,9,1
523.317,0,5,32,0,0,7,9,1
523.327,0,5,28,1,0,6,8,1
523.337,0,5,36,1,0,6,8,1
523.347,0,5,32,0,0,6,8,1
523.357,0,5,36,1,0,6,8,1
523.367,0,5,32,0,0,7,9,1
523.377,0,5,32,1,0,6,9,1
523.387,0,5,32,1,0,7,9,1
523.397,0,5,36,1,0,7,9,1
523.407,0,5,32,1,0,7,9,1
523.417,0,5,32,0,0,7,9,1
523.427,0,5,32,1,0,7,9,1
523.437,0,5,36,1,0,7,9,1
523.447,0,5,36,1,0,7,9,1
523.457,0,5,36,0,0,7,9,1
523.467,0,5,32,1,0,7,9,1
523.477,0,5,40,1,0,7,9,1
523.487,0,5,32,1,0,7,9,1
523.497,0,5,36,0,0,7,9,1
523.507,0,5,36,1,0,6,8,1
523.517,0,5,32,1,0,7,9,1
