T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
58.289,0,9,92,15,0,18,25,3
58.299,0,3,88,0,0,13,10,4
58.309,0,4,88,0,0,14,14,5
58.319,0,21,104,12,0,18,30,15
58.329,0,4,92,0,0,13,27,4
58.339,0,4,92,0,0,15,13,1
58.349,0,22,104,50,0,19,11,3
58.359,0,11,92,22,1,19,28,14
58.369,0,4,88,0,0,15,12,6
58.379,0,11,100,53,0,15,31,8
58.389,0,22,104,15,0,19,28,14
58.399,0,4,88,0,1,18,25,13
58.409,0,15,92,0,0,15,14,1
58.419,0,22,100,47,0,16,17,1
58.429,0,12,92,27,0,19,28,13
58.439,0,4,88,0,0,15,31,8
58.449,0,10,100,0,0,14,11,3
58.459,0,22,104,23,0,18,26,2
58.469,0,13,92,0,0,20,31,11
58.479,0,5,88,0,0,16,15,1
58.489,0,9,100,42,0,13,11,2
58.499,0,22,108,28,0,13,10,1
58.509,0,4,92,0,0,15,15,9
58.519,0,5,96,0,0,17,31,12
58.529,0,22,104,39,0,17,10,1
58.539,0,14,92,0,0,20,31,9
58.549,0,5,88,0,0,21,16,6
58.559,0,7,96,35,0,13,9,1
58.569,0,15,108,39,0,16,21,9
58.579,0,5,96,0,0,20,31,12
58.589,0,6,92,0,0,19,31,14
58.599,0,20,104,41,0,16,19,8
58.609,0,18,100,0,0,20,31,5
58.619,0,6,88,0,0,19,25,3
58.629,0,8,88,0,0,15,11,1
58.639,0,20,104,54,0,14,12,3
58.649,0,23,104,9,0,19,26,12
58.659,0,4,96,0,0,21,31,10
58.669,0,9,100,0,0,14,24,2
58.679,0,20,104,44,0,20,29,5
58.689,0,19,100,0,0,20,13,3
58.699,0,7,88,0,1,20,29,14
58.709,0,5,92,3,0,16,14,7
58.719,0,15,100,55,0,17,17,1
58.729,0,7,100,5,0,18,25,12
58.739,0,22,104,21,0,16,15,8
58.749,0,14,92,0,0,17,18,1
58.759,0,22,104,51,0,18,10,1
58.769,0,11,92,0,0,21,22,10
58.779,0,4,88,0,0,17,19,1
58.789,0,12,104,52,0,18,31,14
58.799,0,22,104,22,0,14,11,3
58.809,0,4,88,0,0,15,17,6
58.819,0,5,84,0,0,19,24,2
58.829,0,22,104,21,0,14,27,3
58.839,0,14,92,39,0,21,31,5
58.849,0,5,84,0,0,19,24,14
58.859,0,7,92,0,0,15,12,1
58.869,0,21,100,37,1,21,25,12
58.879,0,19,92,0,0,14,15,1
58.889,0,7,84,0,0,20,29,4
58.899,0,21,92,22,0,15,13,1
58.909,0,18,92,52,0,19,13,3
58.919,0,6,84,0,1,20,27,14
58.929,0,6,92,0,0,15,31,7
58.939,0,19,104,3,0,14,13,1
58.949,0,20,96,0,0,19,28,14
58.959,0,7,84,0,1,20,31,7
58.969,0,5,88,5,0,17,17,1
58.979,0,4,84,0,0,18,20,2
58.989,0,7,84,1,0,18,23,11
58.999,0,5,84,0,0,16,31,10
58.999,0,16,100,1,0,14,19,2
58.999,0,22,96,56,0,17,23,1
59.005,0,8,84,9,0,20,19,9
59.015,0,4,84,1,0,17,20,13
59.025,0,20,100,56,0,14,10,2
59.035,0,21,100,8,0,16,19,9
59.045,0,4,88,0,0,17,31,12
59.055,0,13,84,0,0,19,31,15
59.065,0,20,96,54,0,16,19,1
59.075,0,9,84,0,0,19,31,7
59.085,0,3,84,0,0,17,23,3
59.095,0,10,96,57,0,13,9,1
59.105,0,22,100,19,0,12,14,6
59.115,0,3,88,0,0,16,29,15
59.125,0,11,84,0,0,16,24,3
59.135,0,20,96,50,1,17,28,6
59.145,0,10,88,30,0,15,29,3
59.155,0,13,100,44,0,15,24,14
59.165,0,8,96,0,0,10,10,6
59.175,0,19,100,31,0,9,9,3
59.185,0,13,92,0,0,12,25,13
59.195,0,4,84,0,0,13,28,6
59.205,0,19,92,39,0,10,12,1
59.215,0,14,92,47,0,13,30,6
59.225,0,4,88,0,0,13,28,11
59.235,0,5,96,41,0,10,17,8
59.245,0,18,108,48,0,8,17,1
59.255,0,17,100,0,0,10,21,11
59.265,0,5,92,0,0,13,30,8
59.275,0,20,96,28,0,10,15,1
59.285,0,19,108,52,0,11,7,1
59.295,0,6,92,0,0,13,18,10
59.305,0,8,100,40,0,9,15,7
59.315,0,23,112,28,0,7,15,1
59.325,0,19,100,0,0,10,21,1
59.335,0,6,92,0,0,8,7,1
59.345,0,10,100,42,0,10,14,10
59.355,0,25,108,40,0,7,7,2
59.365,0,19,100,0,0,12,22,12
59.375,0,14,96,0,0,9,29,8
59.385,0,29,112,44,0,8,14,1
59.395,0,17,100,0,0,11,7,2
59.405,0,7,100,0,0,12,29,12
59.415,0,15,108,52,0,9,12,7
59.425,0,28,112,19,0,8,9,1
59.435,0,27,112,30,0,12,25,13
59.445,0,18,100,0,0,12,28,6
59.455,0,16,108,53,0,13,30,8
59.465,0,14,112,16,0,11,27,3
59.475,0,6,92,0,0,11,26,14
59.485,0,19,108,57,0,10,22,15
59.495,1,27,104,4,0,11,30,10
59.505,0,13,92,0,0,11,27,3
59.515,0,7,92,2,0,10,24,17
59.525,0,26,108,57,0,8,9,2
59.535,0,10,88,2,0,8,11,2
59.545,0,12,88,9,0,10,28,18
59.555,0,23,100,2,1,9,25,18
59.565,0,26,96,56,0,7,29,9
59.575,0,10,80,0,0,7,11,2
59.585,0,9,88,11,0,10,24,21
59.595,0,24,100,50,0,7,7,2
59.605,0,27,96,0,0,7,11,3
59.615,0,9,88,0,0,9,25,27
59.625,0,25,100,0,0,6,28,13
59.635,1,31,96,2,0,6,12,4
59.645,0,20,84,0,0,10,30,28
59.655,0,11,76,0,0,10,31,24
59.665,0,19,88,8,0,9,20,8
59.675,0,34,92,3,0,6,8,7
59.685,0,31,84,4,0,7,11,7
59.695,0,18,72,0,0,9,31,31
59.705,0,34,80,2,0,7,31,21
59.715,0,36,68,14,0,7,16,13
59.725,0,20,44,0,0,7,15,24
59.735,0,17,44,0,1,13,34,40
59.745,23,31,36,2,0,10,17,31
59.755,0,27,24,0,0,9,18,31
59.765,0,10,20,0,0,15,37,46
59.775,0,8,24,0,0,12,38,29
59.785,0,14,28,1,0,8,24,28
59.795,0,7,20,0,0,18,20,38
59.805,3,3,16,0,2,20,42,52
59.815,27,4,12,0,6,15,41,54
59.825,0,3,12,0,0,9,25,47
59.835,0,2,12,0,0,21,47,46
59.845,0,3,12,0,0,20,46,43
59.855,0,3,12,0,10,23,48,59
59.865,0,3,16,0,1,9,28,48
59.875,0,4,16,0,0,7,23,44
59.885,0,3,12,0,1,21,49,57
59.895,0,3,12,0,0,22,49,43
59.905,0,4,16,0,0,8,25,27
59.915,0,3,12,0,0,19,43,53
59.925,0,3,12,0,1,22,46,36
59.935,0,3,12,0,3,9,31,43
59.945,0,3,4,0,0,23,53,51
59.955,0,4,8,0,0,7,44,30
59.965,0,4,4,0,0,12,24,22
59.975,0,4,4,0,0,10,27,19
59.985,0,5,4,0,0,9,31,37
59.995,0,4,4,0,0,24,55,47
59.999,0,4,4,0,0,14,42,42
59.999,0,4,4,0,2,26,58,41
60.001,0,5,4,0,0,19,44,22
60.011,0,4,4,0,0,22,48,25
60.021,0,4,4,0,7,25,58,39
60.031,0,6,4,0,2,25,43,37
60.041,0,6,4,0,0,9,31,21
60.051,0,3,4,0,6,20,51,40
60.061,0,3,8,0,5,29,62,39
60.071,0,5,8,0,0,22,47,18
60.081,0,2,8,0,0,15,40,23
60.091,0,3,8,0,4,31,63,40
60.101,0,6,8,0,0,23,73,31
60.111,0,7,8,0,1,31,74,34
60.121,0,2,8,0,0,28,55,19
60.131,0,3,8,0,3,31,73,22
60.141,0,10,8,0,0,25,61,22
60.151,0,6,4,0,0,24,57,13
60.161,0,4,8,0,0,35,68,25
60.171,0,3,8,0,0,42,76,11
60.181,0,5,4,0,0,37,72,2
60.191,0,2,8,0,0,42,76,2
60.201,0,5,8,0,1,51,90,15
60.211,0,9,8,0,0,50,80,4
60.221,0,4,8,0,0,58,96,4
60.231,0,5,8,0,0,72,99,0
