T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
608.854,0,14,76,18,0,23,30,13
608.864,0,14,76,17,0,23,30,13
608.874,0,14,76,18,0,23,30,13
608.884,0,14,76,18,0,22,30,13
608.894,0,14,76,18,0,23,30,13
608.904,0,14,76,18,0,23,31,13
608.914,0,14,76,18,0,23,31,13
608.924,0,14,76,18,0,23,30,13
608.934,0,15,76,18,0,23,31,13
608.944,0,15,76,18,0,22,31,13
608.954,0,15,72,18,0,22,31,13
608.964,0,15,72,19,0,22,31,13
608.974,0,15,72,17,0,22,31,13
608.984,0,15,72,18,0,22,31,13
608.994,0,15,72,18,0,22,31,13
608.999,0,15,72,18,0,22,31,13
608.999,0,14,72,18,0,22,31,13
609.000,0,14,72,18,0,22,31,12
609.010,0,15,72,17,0,22,31,13
609.020,0,14,72,18,0,22,31,12
609.030,0,14,72,18,0,22,31,13
609.040,0,14,72,17,0,22,31,13
609.050,0,14,72,18,0,22,31,13
609.060,0,14,72,18,0,22,31,12
609.070,0,15,72,18,0,22,31,13
609.080,0,14,72,17,0,22,31,13
609.090,0,14,72,18,0,22,31,13
609.100,0,14,72,18,0,22,31,13
609.110,0,14,72,18,0,22,31,13
609.120,0,14,72,18,0,22,31,13
609.130,0,14,72,18,0,22,31,12
609.140,0,14,72,18,0,22,31,12
609.150,0,14,72,18,0,22,31,13
609.160,0,14,72,17,0,22,31,13
609.170,0,14,72,18,0,22,31,13
609.180,0,14,72,18,0,22,31,13
609.190,0,14,72,18,0,22,31,13
609.200,0,14,72,17,0,22,31,13
609.210,0,14,72,18,0,22,31,13
609.220,0,14,72,18,0,22,31,13
609.230,0,14,72,18,0,22,31,13
609.240,0,14,72,18,0,22,31,13
609.250,0,14,68,18,0,22,31,13
609.260,0,14,68,18,0,22,30,13
609.270,0,14,68,18,0,22,31,13
609.280,0,14,68,18,0,22,30,13
609.290,0,14,68,18,0,22,30,13
609.300,0,14,68,19,0,22,30,13
609.310,0,14,68,18,0,22,30,13
609.320,0,13,68,18,0,22,30,13
609.330,0,14,68,19,0,21,30,13
609.340,0,13,68,19,0,21,29,13
609.350,0,13,68,19,0,20,30,13
609.360,0,13,68,19,0,20,30,13
609.370,0,12,68,20,0,20,29,13
609.380,0,12,68,20,0,20,30,14
609.390,0,12,68,20,0,19,29,14
609.400,0,12,68,20,0,19,29,14
609.410,0,9,68,20,0,18,28,14
609.420,0,8,68,22,0,17,27,14
609.430,0,8,68,21,0,17,26,15
609.440,0,8,68,22,0,17,25,15
609.450,0,9,68,23,0,17,24,15
609.460,0,8,68,22,0,17,24,15
609.470,0,8,68,23,0,17,24,15
609.480,0,7,68,23,0,17,21,15
609.490,0,7,68,23,0,17,22,15
609.500,0,7,68,24,0,17,21,15
609.510,0,7,68,25,0,17,20,15
609.520,0,7,68,25,0,17,21,14
609.530,0,7,68,26,0,17,21,14
609.540,0,7,68,27,0,17,19,14
609.550,0,7,68,28,0,17,19,14
609.560,0,7,68,28,0,17,19,14
609.570,0,7,68,28,0,17,19,14
609.580,0,7,68,31,0,17,17,13
609.590,0,6,68,32,0,17,18,13
609.600,0,7,72,32,0,17,14,13
609.610,0,6,72,35,0,17,13,13
609.620,0,6,72,36,0,15,15,13
609.630,0,6,76,39,0,15,13,13
609.640,0,6,76,39,0,15,9,12
609.650,0,6,80,40,0,14,11,12
609.660,0,6,76,46,0,14,12,12
609.670,0,6,76,48,0,13,10,12
609.680,0,6,80,50,0,12,11,12
609.690,0,6,80,51,0,13,10,11
609.700,0,6,84,51,0,12,9,11
609.710,0,7,84,52,0,11,7,11
609.720,0,7,84,53,0,10,8,11
609.730,0,8,88,53,0,11,8,11
609.740,0,9,88,52,0,11,9,11
609.750,0,9,88,50,0,11,8,11
609.760,0,11,92,49,0,11,7,11
609.770,0,13,92,46,0,10,8,11
609.780,0,16,96,40,0,11,9,12
609.790,0,20,96,32,0,10,9,12
609.800,0,21,100,24,0,9,9,12
609.810,3,21,100,22,0,9,10,12
609.820,5,24,104,18,0,9,10,12
609.830,6,34,104,17,0,9,11,13
609.840,5,40,104,13,0,10,11,14
609.850,9,46,104,8,0,10,12,15
609.860,13,56,100,6,0,11,16,16
609.870,16,56,100,3,0,11,16,19
609.880,19,60,76,1,0,12,18,20
609.890,21,66,60,1,0,12,20,23
609.900,25,65,52,1,0,13,23,27
609.910,25,63,28,1,0,12,25,29
609.920,26,52,12,1,0,14,28,34
609.930,22,39,8,2,0,15,30,38
609.940,21,22,4,2,0,15,31,39
609.950,18,18,4,2,0,17,31,42
609.960,20,13,4,2,0,19,31,45
609.970,15,10,8,1,0,19,35,49
609.980,13,7,0,1,0,22,36,51
609.990,8,5,4,2,0,23,38,51
609.999,2,5,4,2,0,21,39,49
609.999,0,5,0,2,0,28,39,48
609.999,0,3,0,2,0,34,41,47
610.006,0,3,4,2,0,38,38,44
610.016,0,3,4,1,0,41,39,42
610.026,0,3,4,2,0,44,37,40
610.036,0,3,4,2,0,46,40,37
610.046,0,3,4,1,0,48,39,35
610.056,0,3,4,2,0,49,38,31
610.066,0,3,4,2,0,52,35,31
610.076,0,3,4,2,0,56,35,29
610.086,0,3,4,2,0,59,35,27
610.096,0,3,4,1,0,58,35,26
610.106,0,3,4,1,0,61,35,26
610.116,0,3,4,1,0,67,34,26
610.126,0,3,4,2,0,68,36,25
610.136,0,3,4,1,0,69,35,26
610.146,0,3,4,1,0,67,35,25
610.156,0,3,4,2,0,68,37,25
610.166,0,3,4,1,0,68,35,25
610.176,0,2,4,1,0,68,35,24
610.186,0,2,4,1,0,69,31,25
610.196,0,3,4,1,0,71,34,24
610.206,0,3,4,0,0,71,34,24
610.216,0,3,4,2,0,70,35,24
610.226,0,3,4,2,0,71,35,24
