T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
500.327,0,15,76,17,0,23,35,6
500.337,0,15,76,17,0,23,35,6
500.347,0,14,80,17,0,23,35,6
500.357,0,14,76,17,0,23,35,6
500.367,0,15,80,18,0,23,35,6
500.377,0,15,76,18,0,23,35,6
500.387,0,15,76,18,0,23,35,6
500.397,0,15,80,17,0,23,35,6
500.407,0,15,76,17,0,24,35,6
500.417,0,15,76,17,0,24,35,6
500.427,0,15,80,18,0,24,35,6
500.437,0,15,76,18,0,24,35,6
500.447,0,14,76,18,0,24,35,6
500.457,0,15,76,17,0,24,35,6
500.467,0,15,76,17,0,24,35,6
500.477,0,15,76,17,0,24,35,6
500.487,0,15,76,18,0,24,35,6
500.497,0,15,76,18,0,23,35,6
500.507,0,15,76,18,0,24,35,6
500.517,0,15,76,17,0,24,35,6
500.527,0,15,76,18,0,24,35,6
500.537,0,15,76,17,0,24,35,6
500.547,0,15,76,17,0,23,35,6
500.557,0,15,76,18,0,24,35,6
500.567,0,15,76,17,0,24,35,6
500.577,0,15,76,18,0,24,35,6
500.587,0,15,76,17,0,24,35,6
500.597,0,15,80,17,0,24,35,6
500.607,0,15,80,17,0,24,35,6
500.617,0,15,76,17,0,24,35,6
500.627,0,15,76,17,0,24,35,6
500.637,0,15,76,17,0,24,35,6
500.647,0,15,80,17,0,24,35,6
500.657,0,15,76,18,0,24,35,6
500.667,0,15,76,18,0,24,35,6
500.677,0,15,76,17,0,24,35,6
500.687,0,15,76,17,0,24,35,6
500.697,0,15,76,17,0,24,35,6
500.707,0,15,76,17,0,24,35,6
500.717,0,15,76,17,0,24,36,6
500.727,0,15,80,18,0,24,36,6
500.737,0,15,76,18,0,24,35,6
500.747,0,15,76,17,0,24,36,6
500.757,0,15,76,17,0,24,36,6
500.767,0,15,76,17,0,24,36,6
500.777,0,15,76,17,0,24,36,6
500.787,0,15,76,17,0,24,36,6
500.797,0,15,76,17,0,24,36,6
500.807,0,15,76,17,0,24,36,6
500.817,0,15,76,18,0,24,36,6
500.827,0,15,76,17,0,24,36,6
500.837,0,15,76,17,0,24,36,6
500.847,0,15,76,17,0,24,37,6
