T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
105.567,0,14,104,13,0,19,31,6
105.577,0,14,104,13,0,19,31,6
105.587,0,14,104,13,0,18,31,5
105.597,0,14,104,13,0,19,31,6
105.607,0,14,104,13,0,19,31,6
105.617,0,14,104,13,0,18,31,6
105.627,0,14,104,13,0,19,31,6
105.637,0,14,104,13,0,19,31,6
105.647,0,14,104,13,0,19,31,6
105.657,0,14,108,13,0,19,31,6
105.667,0,14,104,13,0,19,31,6
105.677,0,14,104,13,0,19,31,6
105.687,0,14,104,14,0,19,31,6
105.697,0,14,104,14,0,19,31,6
105.707,0,14,104,13,0,19,31,6
105.717,0,14,104,13,0,19,31,6
105.727,0,14,104,13,0,18,31,6
105.737,0,14,104,13,0,19,31,6
105.747,0,14,104,13,0,18,31,6
105.757,0,14,108,13,0,19,31,6
105.767,0,14,108,13,0,19,31,6
105.777,0,14,108,13,0,19,31,6
105.787,0,14,108,13,0,19,31,6
105.797,0,15,108,13,0,19,31,6
105.807,0,15,108,13,0,18,31,6
105.817,0,15,108,13,0,19,31,6
105.827,0,15,108,13,0,19,31,6
105.837,0,15,108,13,0,19,31,6
105.847,0,15,108,13,0,18,31,6
105.857,0,15,108,13,0,19,31,6
105.867,0,15,108,13,0,19,31,6
105.877,0,15,108,13,0,18,31,6
105.887,0,15,108,13,0,18,31,6
105.897,0,15,108,13,0,18,31,6
105.907,0,15,108,13,0,19,31,6
105.917,0,15,108,13,0,19,31,6
105.927,0,15,108,13,0,19,31,6
105.937,0,15,108,13,0,18,31,6
105.947,0,15,108,13,0,19,31,6
105.957,0,15,108,13,0,19,31,6
105.967,0,15,108,13,0,18,31,6
105.977,0,15,108,13,0,18,31,6
105.987,0,15,108,13,0,18,31,6
105.997,0,15,108,13,0,18,31,6
105.999,0,15,108,13,0,19,31,6
105.999,0,15,108,13,0,19,31,6
106.003,0,15,108,13,0,18,31,6
106.013,0,15,108,13,0,19,31,6
106.023,0,15,108,14,0,19,31,6
106.033,0,15,108,14,0,18,31,6
106.043,0,15,108,14,0,19,30,6
106.053,0,15,108,13,0,18,31,6
106.063,0,15,108,13,0,19,31,6
106.073,0,15,108,13,0,19,31,6
106.083,0,15,108,13,0,19,31,6
106.093,0,15,108,13,0,18,31,6
106.103,0,15,108,13,0,19,31,6
106.113,0,15,108,13,0,18,30,6
106.123,0,15,108,14,0,18,29,6
106.133,0,15,108,14,0,18,30,6
106.143,0,15,108,13,0,18,30,6
106.153,0,15,108,13,0,18,31,6
106.163,0,15,108,14,0,18,30,6
106.173,0,15,108,14,0,18,30,6
106.183,0,15,108,13,0,18,30,6
106.193,0,15,108,13,0,18,30,6
106.203,0,15,108,13,0,18,31,6
106.213,0,15,108,13,0,18,29,6
106.223,0,15,108,13,0,18,30,6
106.233,0,15,108,13,0,18,31,6
106.243,0,15,108,13,0,18,31,6
106.253,0,15,108,13,0,18,29,5
106.263,0,15,112,13,0,17,31,5
106.273,0,15,112,14,0,16,31,5
106.283,0,15,108,14,0,15,34,5
106.293,0,15,108,14,0,15,31,5
106.303,0,15,108,15,0,15,31,5
106.313,0,14,112,16,0,15,31,5
106.323,0,14,108,16,0,15,24,5
106.333,0,13,112,17,0,15,24,5
106.343,0,13,112,18,0,15,24,5
106.353,0,13,112,19,0,15,23,5
106.363,0,12,112,19,0,15,23,5
106.373,0,12,112,20,0,15,23,5
106.383,0,11,112,20,0,14,22,5
106.393,0,10,116,20,0,14,22,5
106.403,0,10,116,21,0,14,21,5
106.413,0,10,112,21,0,14,21,5
106.423,0,8,116,21,0,13,20,4
106.433,0,9,112,22,0,13,20,4
106.443,0,9,116,22,0,12,19,4
106.453,0,9,120,22,0,12,18,4
106.463,0,9,124,22,0,11,17,3
106.473,0,9,124,22,0,11,17,3
106.483,0,9,124,23,0,10,16,3
106.493,0,9,124,24,0,11,16,4
106.503,0,9,124,24,0,10,15,4
106.513,0,9,124,24,0,10,14,3
106.523,0,9,124,23,0,10,15,4
106.533,0,9,124,23,0,10,14,4
106.543,0,9,132,23,0,9,13,4
106.553,0,9,132,22,0,9,14,4
106.563,0,8,132,22,0,9,13,4
106.573,0,8,136,22,0,9,13,4
106.583,0,8,132,23,0,8,14,5
106.593,0,8,124,23,0,7,13,4
106.603,0,8,136,23,0,6,14,4
106.613,0,8,136,23,0,6,13,5
106.623,0,8,136,22,0,5,14,5
106.633,0,8,136,22,0,5,13,6
106.643,0,8,136,22,0,6,13,6
106.653,0,8,136,21,0,5,13,6
106.663,0,8,136,21,0,4,14,7
106.673,0,8,136,20,0,4,14,7
106.683,0,8,136,20,0,5,14,7
106.693,0,9,132,20,0,4,13,8
106.703,0,9,124,20,0,5,13,9
106.713,0,10,124,20,0,5,13,9
106.723,0,10,124,18,0,4,13,9
106.733,0,11,124,16,0,5,15,9
106.743,0,12,124,15,0,5,15,10
106.753,0,14,124,13,0,4,14,11
106.763,0,15,124,12,0,4,14,11
106.773,0,15,124,10,0,4,15,12
106.783,0,15,124,9,0,4,15,16
106.793,0,17,120,7,0,4,15,15
106.803,0,18,124,5,0,5,18,17
106.813,0,19,120,1,0,6,20,18
106.823,0,19,116,1,0,6,20,19
106.833,0,19,108,0,0,6,30,23
106.843,0,19,92,0,0,6,31,27
106.853,0,16,76,0,0,6,33,31
106.863,0,13,56,0,0,7,35,34
106.873,0,13,36,0,0,7,40,35
106.883,0,11,20,0,0,7,44,39
106.893,0,7,24,0,0,9,45,39
106.903,0,5,20,0,0,11,46,39
106.913,0,3,20,0,0,9,48,40
106.923,0,3,16,0,0,10,48,41
106.933,0,3,20,0,0,9,51,42
106.943,0,3,20,0,0,10,54,42
106.953,0,2,24,0,0,13,55,39
106.963,0,3,24,0,0,10,57,37
106.973,0,3,24,0,0,10,59,35
106.983,0,3,24,0,0,11,61,31
106.993,0,3,24,0,0,10,60,31
106.999,0,3,24,0,0,10,63,30
106.999,0,3,24,0,0,12,61,28
106.999,0,3,24,0,0,14,61,27
107.009,0,3,24,0,0,14,62,26
107.019,0,3,24,0,0,15,62,25
107.029,0,3,24,0,0,15,62,23
107.039,0,4,20,0,0,18,62,21
107.049,0,4,20,0,0,18,63,20
107.059,0,4,20,0,0,20,63,21
107.069,0,4,16,0,0,21,67,21
107.079,0,3,16,0,0,22,69,21
107.089,0,4,20,0,0,23,71,21
107.099,0,3,20,0,0,23,74,21
107.109,0,3,20,0,0,24,75,21
107.119,0,3,24,0,0,23,76,22
107.129,0,4,24,0,0,24,76,23
107.139,0,4,24,0,0,25,77,23
107.149,0,4,24,0,0,26,78,22
