T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
161.580,0,25,84,11,0,21,34,9
161.590,0,26,84,11,0,21,34,9
161.600,0,26,84,11,0,21,34,9
161.610,0,25,84,11,0,21,34,9
161.620,0,26,84,11,0,21,34,9
161.630,0,26,84,11,0,21,34,9
161.640,0,26,84,11,0,21,35,9
161.650,0,26,84,10,0,21,34,9
161.660,0,26,84,11,0,21,34,9
161.670,0,26,84,11,0,21,35,9
161.680,0,26,84,11,0,21,35,9
161.690,0,26,84,11,0,21,35,9
161.700,0,27,84,11,0,21,35,9
161.710,0,27,84,11,0,21,35,9
161.720,0,27,84,11,0,21,35,9
161.730,0,27,84,11,0,21,35,9
161.740,0,27,84,11,0,21,35,9
161.750,0,27,84,11,0,21,35,9
161.760,0,27,84,11,0,21,35,9
161.770,0,27,84,11,0,21,35,9
161.780,0,27,84,11,0,21,36,9
161.790,0,27,84,11,0,21,36,9
161.800,0,27,80,11,0,21,36,9
161.810,0,27,80,11,0,21,35,9
161.820,0,27,80,11,0,21,36,9
161.830,0,27,80,11,0,21,36,9
161.840,0,27,80,11,0,21,36,9
161.850,0,27,80,11,0,21,36,9
161.860,0,27,80,11,0,21,36,9
161.870,0,27,80,12,0,21,35,9
161.880,0,27,80,11,0,20,36,9
161.890,0,27,80,11,0,21,36,9
161.900,0,27,80,11,0,21,36,9
161.910,0,26,84,11,0,21,36,9
161.920,0,26,80,11,0,21,35,9
161.930,0,25,80,12,0,20,35,9
161.940,0,25,84,12,0,21,35,9
161.950,0,25,84,12,0,21,35,9
161.960,0,24,80,12,0,20,35,9
161.970,0,24,84,12,0,21,35,9
161.980,0,24,84,12,0,21,35,9
161.990,0,24,84,12,0,20,35,9
161.999,0,24,84,12,0,20,34,9
161.999,0,23,84,12,0,21,34,9
161.999,0,23,84,12,0,20,34,9
162.006,0,23,84,12,0,20,34,9
162.016,0,23,84,12,0,21,31,9
162.026,0,23,84,12,0,20,31,9
162.036,0,23,84,12,0,21,31,9
162.046,0,23,84,12,0,21,31,9
162.056,0,23,84,12,0,21,31,9
162.066,0,23,84,12,0,21,31,9
162.076,0,23,84,12,0,21,31,9
162.086,0,23,84,12,0,20,31,9
162.096,0,24,84,12,0,21,31,9
162.106,0,23,84,12,0,21,31,9
162.116,0,24,84,12,0,21,31,9
162.126,0,23,84,11,0,21,31,9
162.136,0,24,84,11,0,20,31,9
162.146,0,24,84,11,0,21,31,9
162.156,0,24,84,11,0,20,31,9
162.166,0,24,84,11,0,20,31,9
162.176,0,24,84,11,0,20,31,9
162.186,0,24,84,11,0,20,31,9
162.196,0,25,84,11,0,20,31,9
162.206,0,25,84,11,0,20,31,9
162.216,0,24,84,11,0,20,31,9
162.226,0,24,84,12,0,20,31,9
162.236,0,24,84,12,0,20,31,9
162.246,0,24,84,11,0,20,31,9
162.256,0,24,84,12,0,19,31,9
162.266,0,24,84,12,0,19,31,9
162.276,0,24,80,12,0,19,31,9
162.286,0,23,80,12,0,19,31,9
162.296,0,23,80,13,0,19,31,10
162.306,0,23,80,12,0,19,31,9
162.316,0,23,80,13,0,19,30,10
162.326,0,23,80,13,0,19,30,10
162.336,0,23,76,13,0,19,30,10
162.346,0,23,76,13,0,19,31,10
162.356,0,22,76,15,0,18,30,10
162.366,0,22,76,15,0,18,30,10
162.376,0,22,76,16,0,18,30,10
162.386,0,22,76,16,0,18,29,10
162.396,0,21,76,16,0,17,28,10
162.406,0,21,76,15,0,15,28,10
162.416,0,21,76,16,0,15,28,10
162.426,0,21,76,16,0,15,27,10
162.436,0,21,76,16,0,15,26,10
162.446,0,21,76,17,0,15,25,10
162.456,0,21,76,17,0,14,26,10
162.466,0,21,72,17,0,14,25,10
162.476,0,21,76,18,0,13,25,10
162.486,0,21,76,18,0,13,24,10
162.496,0,20,76,18,0,13,24,10
162.506,0,20,76,19,0,13,22,10
162.516,0,20,72,19,0,14,22,10
162.526,0,20,76,19,0,13,21,10
162.536,0,21,76,20,0,13,21,10
162.546,0,21,76,19,0,13,21,10
162.556,0,21,76,19,0,13,20,10
162.566,0,21,80,19,0,13,20,9
162.576,0,22,84,19,0,12,19,9
162.586,0,22,84,19,0,11,19,9
162.596,0,22,84,19,0,12,19,10
162.606,0,23,84,19,0,11,18,9
162.616,0,23,84,19,0,11,18,9
162.626,0,24,88,20,0,11,18,9
162.636,0,25,88,20,0,11,18,9
162.646,0,26,88,19,0,11,17,9
162.656,0,26,88,19,0,11,15,9
162.666,0,27,88,19,0,11,14,9
162.676,0,28,92,18,0,10,13,9
162.686,0,28,88,18,0,11,14,9
162.696,0,28,92,18,0,11,14,9
162.706,0,29,88,17,0,11,14,10
162.716,0,29,92,17,0,11,14,10
162.726,0,28,88,17,0,11,14,10
162.736,0,29,88,17,0,11,14,11
162.746,0,28,88,16,0,12,16,11
162.756,0,29,88,16,0,13,17,11
162.766,0,29,88,14,0,13,17,11
162.776,0,29,88,13,0,13,18,11
162.786,0,29,88,12,0,14,19,12
162.796,0,29,88,11,0,14,19,13
162.806,0,29,84,11,0,15,20,14
162.816,0,29,76,10,0,15,21,15
162.826,0,29,76,8,0,15,21,17
162.836,0,29,72,6,0,15,24,18
162.846,0,29,72,5,0,17,25,18
162.856,0,29,68,4,0,17,24,19
162.866,0,29,68,2,0,18,26,19
162.876,0,31,60,0,0,19,31,20
162.886,0,29,60,0,0,19,37,21
162.896,0,27,60,0,0,20,39,21
162.906,0,24,52,0,0,21,35,23
162.916,0,22,44,0,0,21,43,22
162.926,0,19,20,0,0,23,45,22
162.936,2,14,16,0,0,25,49,22
162.946,3,9,16,0,0,26,52,22
162.956,0,8,16,0,0,28,57,22
162.966,0,6,12,0,0,30,63,24
162.976,0,6,12,0,0,31,70,24
162.986,0,3,12,0,0,34,69,24
162.996,0,3,8,0,0,34,66,25
162.999,0,3,8,0,0,35,69,25
162.999,0,3,8,0,0,35,68,24
163.002,0,4,8,0,0,35,69,23
163.012,0,4,8,0,0,35,74,23
163.022,0,3,8,0,0,35,73,23
163.032,0,4,8,0,0,35,75,21
163.042,0,4,8,0,0,35,74,19
163.052,0,4,8,0,0,36,75,19
163.062,0,4,4,0,0,36,74,18
163.072,0,4,4,0,0,36,74,17
163.082,0,4,4,0,0,36,73,15
163.092,0,4,4,0,0,36,73,15
163.102,0,4,4,0,0,36,73,14
163.112,0,4,4,0,0,37,73,15
163.122,0,4,4,0,0,36,73,15
163.132,0,4,8,0,0,37,73,15
163.142,0,3,4,0,0,37,73,15
163.152,0,3,4,0,0,37,74,15
163.162,0,4,4,0,0,38,73,14
163.172,0,4,4,0,0,39,73,14
163.182,0,3,8,0,0,39,73,14
163.192,0,3,8,0,0,39,74,14
163.202,0,3,8,0,0,39,74,14
163.212,0,4,4,0,0,39,74,13
163.222,0,4,4,0,0,39,75,14
163.232,0,4,4,0,0,39,75,13
163.242,0,3,4,0,0,40,75,13
163.252,0,4,4,0,0,41,75,13
163.262,0,4,4,0,0,42,76,13
163.272,0,4,4,0,0,41,76,12
163.282,0,5,4,0,0,41,77,12
163.292,0,5,4,0,0,41,78,12
