T, L_Toe, L_Inner, L_Outer, L_Heel, R_Toe, R_Inner, R_Outer, R_Heel
941.035,0,12,92,17,0,20,35,5
941.045,0,12,92,17,0,19,35,5
941.055,0,12,92,17,0,20,35,5
941.065,0,12,92,17,0,19,35,5
941.075,0,12,92,17,0,20,35,6
941.085,0,12,92,17,0,20,35,5
941.095,0,12,92,17,0,20,35,5
941.105,0,12,92,17,0,19,35,5
941.115,0,12,92,17,0,20,35,5
941.125,0,12,92,17,0,20,35,6
941.135,0,12,92,17,0,19,35,5
941.145,0,12,92,17,0,19,35,5
941.155,0,12,92,17,0,19,35,5
941.165,0,12,92,17,0,19,35,5
941.175,0,12,92,17,0,20,35,5
941.185,0,12,92,17,0,19,35,5
941.195,0,12,92,17,0,19,35,5
941.205,0,12,92,17,0,19,35,5
941.215,0,12,92,17,0,19,35,5
941.225,0,12,92,17,0,19,34,6
941.235,0,12,92,17,0,19,34,5
941.245,0,12,92,17,0,19,34,6
941.255,0,12,92,17,0,19,34,6
941.265,0,12,92,17,0,19,33,6
941.275,0,12,92,17,0,19,34,6
941.285,0,11,88,17,0,19,34,6
941.295,0,11,92,17,0,19,31,6
941.305,0,11,88,17,0,19,31,6
941.315,0,11,88,17,0,19,34,6
941.325,0,11,88,17,0,19,34,6
941.335,0,11,88,17,0,19,34,6
941.345,0,11,88,17,0,19,31,6
941.355,0,10,88,17,0,19,31,6
941.365,0,11,88,17,0,19,31,6
941.375,0,11,88,17,0,19,33,6
941.385,0,10,88,17,0,19,34,7
941.395,0,10,88,17,0,19,34,6
941.405,0,10,88,17,0,19,31,6
941.415,0,10,88,17,0,19,34,7
941.425,0,10,88,17,0,19,34,7
941.435,0,10,88,17,0,19,31,6
941.445,0,10,88,17,0,19,31,7
941.455,0,10,88,17,0,19,34,7
941.465,0,10,88,17,0,19,33,6
941.475,0,10,88,17,0,19,34,7
941.485,0,10,88,17,0,19,31,6
941.495,0,10,88,17,0,19,33,6
941.505,0,10,88,17,0,19,34,7
941.515,0,10,88,17,0,19,31,7
941.525,0,10,88,17,0,18,31,6
941.535,0,10,88,17,0,18,33,7
941.545,0,10,88,17,0,19,31,6
941.555,0,10,88,17,0,18,33,7
941.565,0,10,88,17,0,18,31,7
941.575,0,10,88,18,0,19,31,7
941.585,0,10,88,17,0,18,31,7
941.595,0,10,88,17,0,18,31,7
941.605,0,10,88,17,0,18,31,7
941.615,0,10,88,17,0,18,31,7
941.625,0,10,88,17,0,18,34,7
941.635,0,10,84,17,0,18,31,7
941.645,0,10,84,17,0,18,31,7
941.655,0,10,84,17,0,18,31,7
941.665,0,10,84,17,0,18,31,7
941.675,0,10,84,17,0,19,31,7
941.685,0,9,84,18,0,18,31,7
941.695,0,9,84,17,0,18,31,7
941.705,0,10,84,18,0,18,31,6
941.715,0,10,84,17,0,18,31,7
941.725,0,10,84,18,0,18,31,6
941.735,0,10,84,18,0,18,31,6
941.745,0,10,84,18,0,18,31,6
941.755,0,10,84,18,0,18,31,7
941.765,0,10,84,19,0,18,31,7
941.775,0,9,84,18,0,18,31,7
941.785,0,9,84,19,0,18,31,7
941.795,0,9,80,18,0,18,31,7
941.805,0,9,80,19,0,18,31,7
941.815,0,9,80,19,0,18,31,7
941.825,0,9,80,19,0,17,31,7
941.835,0,9,80,19,0,17,31,7
941.845,0,10,80,20,0,17,31,7
941.855,0,10,84,20,0,17,31,7
941.865,0,10,84,20,0,16,31,7
941.875,0,10,84,20,0,15,31,7
941.885,0,10,88,20,0,15,30,7
941.895,0,10,88,20,0,14,29,7
941.905,0,10,88,20,0,14,28,7
941.915,0,10,88,20,0,14,28,7
941.925,0,10,88,20,0,14,28,7
941.935,0,10,88,21,0,13,28,7
941.945,0,10,88,21,0,12,28,7
941.955,0,10,88,21,0,11,27,6
941.965,0,10,88,22,0,12,27,7
941.975,0,10,92,22,0,11,26,6
941.985,0,10,92,21,0,11,27,6
941.995,0,10,92,22,0,11,26,6
941.999,0,10,92,23,0,10,25,6
941.999,0,10,92,23,0,10,24,6
942.001,0,10,92,24,0,9,24,6
942.011,0,10,92,25,0,10,23,6
942.021,0,9,92,25,0,9,23,6
942.031,0,9,92,26,0,10,22,6
942.041,0,9,92,26,0,10,22,6
942.051,0,9,92,26,0,9,22,6
942.061,0,9,96,27,0,9,22,6
942.071,0,9,96,28,0,9,22,6
942.081,0,9,96,28,0,9,22,7
942.091,0,9,96,28,0,9,21,6
942.101,0,9,96,28,0,8,21,6
942.111,0,9,92,28,0,8,22,7
942.121,0,9,96,28,0,8,22,8
942.131,0,9,92,27,0,8,21,8
942.141,0,9,92,27,0,7,20,8
942.151,0,9,96,26,0,7,20,8
942.161,0,9,92,26,0,7,20,8
942.171,0,9,92,25,0,7,21,8
942.181,0,7,92,24,0,7,21,9
942.191,0,7,92,22,0,7,20,9
942.201,0,7,92,21,0,7,20,9
942.211,0,7,96,20,0,7,21,9
942.221,0,8,96,20,0,6,21,10
942.231,0,8,96,20,0,6,21,13
942.241,0,8,96,19,0,6,20,14
942.251,0,10,96,18,0,6,21,14
942.261,0,10,96,17,0,6,21,14
942.271,0,11,100,17,0,6,21,14
942.281,0,13,100,14,0,6,20,16
942.291,0,17,100,12,0,6,20,18
942.301,0,21,100,6,0,7,21,18
942.311,0,21,104,6,0,6,20,19
942.321,0,21,104,5,0,7,21,21
942.331,0,22,100,3,0,7,22,23
942.341,6,25,100,0,0,7,24,26
942.351,7,26,84,0,0,7,25,27
942.361,7,25,68,0,0,7,26,30
942.371,8,23,60,0,0,10,28,31
942.381,8,19,44,0,0,9,30,31
942.391,8,15,24,0,0,11,30,37
942.401,7,13,24,0,0,13,31,40
942.411,6,9,24,0,0,13,30,46
942.421,5,5,20,0,0,13,31,48
942.431,2,7,20,0,0,14,35,51
942.441,4,5,20,0,0,14,36,49
942.451,2,3,20,0,0,14,36,51
942.461,0,3,24,0,0,14,37,54
942.471,0,3,28,0,0,15,37,55
942.481,0,3,28,0,0,15,38,56
942.491,0,3,28,0,0,15,39,56
942.501,0,3,28,0,0,16,38,54
942.511,0,4,28,0,0,17,38,51
942.521,0,3,28,0,0,17,38,49
942.531,0,3,28,0,0,18,38,48
942.541,0,3,24,0,0,18,38,44
942.551,0,3,24,0,0,17,37,41
942.561,0,3,24,0,0,17,38,40
942.571,0,3,24,0,0,18,38,39
942.581,0,3,20,0,0,18,38,38
942.591,0,4,20,0,0,18,38,38
942.601,0,4,20,0,0,17,39,38
942.611,0,4,24,0,0,17,39,38
942.621,0,4,24,0,0,17,39,38
942.631,0,4,24,0,0,18,41,38
942.641,0,4,24,0,0,18,41,38
942.651,0,4,16,0,0,19,41,38
942.661,0,4,20,0,0,20,42,39
942.671,0,4,16,0,0,21,42,38
942.681,0,4,16,0,0,22,42,38
942.691,0,4,16,0,0,22,43,38
942.701,0,3,16,0,0,22,44,36
942.711,0,3,16,0,0,24,45,35
942.721,0,4,20,0,0,24,47,34
942.731,0,4,20,0,0,26,47,31
942.741,0,4,24,0,0,27,49,31
942.751,0,4,24,0,0,29,53,28
942.761,0,4,24,0,0,30,54,27
942.771,0,4,24,0,0,31,57,25
942.781,0,4,20,0,0,34,61,22
942.791,0,4,20,0,0,37,66,18
942.801,0,4,20,0,0,38,68,15
942.811,0,4,20,0,0,39,73,11
942.821,0,4,20,0,0,45,76,11
942.831,0,4,16,0,0,48,82,6
942.841,0,4,12,0,0,51,87,6
942.851,0,4,8,0,0,56,93,4
942.861,0,4,8,0,0,58,97,2
942.871,0,4,8,0,0,70,99,3
942.881,0,5,4,0,0,75,106,2
942.891,0,5,4,0,0,84,108,2
942.901,0,5,4,0,0,92,115,1
942.911,0,5,4,0,0,103,134,1
942.921,0,5,8,0,0,110,133,0
942.931,0,5,4,0,2,118,133,0
942.941,0,3,8,4,3,127,141,0
942.951,0,2,8,6,4,137,146,0
942.961,0,2,8,8,6,146,137,0
942.971,0,1,8,10,13,159,127,0
942.981,0,1,8,13,19,175,110,0
942.991,0,1,8,16,28,184,93,1
942.999,0,1,12,20,34,186,66,0
942.999,0,1,12,24,38,171,37,0
942.999,0,1,12,30,39,154,20,0
943.007,0,1,12,38,49,149,20,0
943.017,0,1,12,46,62,123,12,0
943.027,1,1,16,63,75,102,9,0
943.037,1,1,20,68,75,73,12,0
943.047,0,1,24,70,86,56,15,0
943.057,0,1,36,72,96,39,13,0
943.067,0,1,44,74,73,28,9,0
943.077,0,1,60,75,55,21,5,0
943.087,0,1,76,78,46,17,6,0
943.097,0,0,68,82,25,13,5,1
943.107,0,1,68,85,15,14,2,1
943.117,0,2,72,88,3,12,2,1
943.127,0,3,76,92,0,7,1,1
943.137,0,4,76,94,0,3,2,2
943.147,0,6,72,92,0,3,2,2
943.157,0,7,80,89,0,3,1,2
943.167,0,6,88,87,0,3,1,2
943.177,0,6,88,81,0,4,1,2
